rank,last_7_days,last_30_days,last_120_days
471,hai dây,giảm 50%,bấm vào giỏ hàng
472,bé sơ sinh,tinh dầu,ốplưngđiệnthoại
473,đồ chơi,quần đùi,streetwear
474,100ml,hai dây,tế bào chết
475,combo 6,20000mah,bé sơ sinh
476,trà mâm xôi,máy sấy tóc,1xx
477,tẩy tế bào chết,duongtrangda,bộ dài tay
478,chống nhìn trộm,lưng cao,combo 3 cái
479,nước súc miệng,trà lá ổi,áo thun polo nam
480,sandal,inox 304,ghế
481,tế bào chết,aopolodep,chống muỗi
482,lựa chọn,giay,chăm sóc da
483,cải thiện,đèn pin,gel massage
484,silicone,donghonam,giảm 50%
485,vải đũi,dưỡng sinh,duongtrangda
486,quà,trà mâm xôi,giayluoinam
487,trẻ,100ml,1.280.000 người sử dụng
488,áo gió,quần short nam,đèn pin
489,aopolodep,phơi quần áo,hoodiezip
490,inox 304,bộ ngủ,ốpiphone
491,tẩy lông,xỏ ngón,cô gái
492,nhẹ nhàng,bảo vệ sức khỏe,lửng
493,tinh dầu,nón bảo hiểm,quần chip
494,kem nền,sắt,boxy
495,năng động,mũ lưỡi trai,vệ sinh
496,quần lót,hoodie zip,quạt
497,thun tăm,chó,denim
498,dung dịch vệ sinh,aocardigan,giảm đường
499,aogiunhiet,nước hoa nữ,đựng thực phẩm
500,chó,quần tây,mấy ông
